 Name,Description,Price,Food?,Drink?,Cantidad,New Property,Food Trucks,Created,Updated
Vela perfumada Vainilla Bosque Verde pequeña,"Caja 18 velas | 0,098 €/ud",1.75,,,,"{'url':'32f944414599d2b88d483d5d5bf43e2205f8a2dded126cd36e4cbd645997f706.jpg','size':19415,'width':600,'height':600,'filename':'7e7c1bc030ff14320c5b91a26e2bb63b.jpg'}",,2022-09-14T15:17:28.897Z,2022-09-14T15:17:28.897Z
Vela perfumada Talco Bosque Verde vaso de cristal,"Caja 1 ud. | 1,65 €/ud",1.65,,,,"{'url':'02db963621604d5720d02880dbcca10061810eaf76565661b2fb5b3bbd1f024f.jpg','size':31454,'width':600,'height':600,'filename':'189b412fff1cfef1f06f6a0b8aee7119.jpg'}",,2022-09-14T15:16:56.086Z,2022-09-14T15:16:56.086Z
Vela perfumada Té Chai Bosque Verde vaso de cristal,"Caja 1 ud. | 1,65 €/ud",1.65,FALSE,FALSE,,"{'url':'a8ceb737ec67ad01606fe8591f915c8d243e8bd2db9221d4fe75163c9f8eea8e.jpg','size':30703,'width':600,'height':600,'filename':'9722ac5eb2710c631ca08b3c56c88dc2.jpg'}",,2022-09-14T15:16:33.239Z,2022-09-14T15:16:41.225Z
Vela perfumada Té Chai Bosque Verde pequeña,"Caja 18 velas | 0,098 €/ud",1.75,,,,"{'url':'1f71be8e8bc6816b935252d6315427f48130db5adcf9004c4e0349ede4302a38.jpg','size':20929,'width':600,'height':600,'filename':'b3cc4ac5b3a30869aadaaf139d9f64f4.jpg'}",,2022-09-14T15:16:13.565Z,2022-09-14T15:16:13.565Z
Barras de incienso aroma Sándalo Bosque Verde incluye portaincienso,"Paquete 20 ud. | 0,055 €/ud",1.1,,,,"{'url':'e28dfd4975b60b06c054739d972914ece2e2faab4f1b1386ad68b8a15348909e.jpg','size':14153,'width':600,'height':600,'filename':'4d3ff9237e066d9ae50d7fc988d27a84.jpg'}",,2022-09-14T15:15:52.722Z,2022-09-14T15:15:52.722Z
Ambientador líquido concentrado Foresan deluxe,"Botella 125 ml | 12,56 €/L",1.57,,,,"{'url':'ce939e6b04048443a66259a095a158effecd7fb5c764141504a886c35d1d6eff.jpg','size':12469,'width':600,'height':600,'filename':'7a0da40c8c498137e8905b8da82a0032.jpg'}",,2022-09-14T15:15:28.957Z,2022-09-14T15:15:28.957Z
Velas perfumadas Tropical Bosque Verde pequeña,"Caja 18 velas | 0,098 €/ud",1.75,,,,"{'url':'9551eae776facf9560ef4ac690d0139977c808076196e3e61b54faae6867aef0.jpg','size':25602,'width':600,'height':600,'filename':'34081329ab7e3cf7ce2139af9c16df7c.jpg'}",,2022-09-14T15:15:04.606Z,2022-09-14T15:15:04.606Z
Vela perfumada Vainilla Bosque Verde vaso de cristal,"Caja 1 ud. | 1,65 €/ud",1.65,,,,"{'url':'1ead04e873a0d65e6fe631b9a18709cd29f7ae6c521030a2f63b1469ce21f204.jpg','size':31162,'width':600,'height':600,'filename':'20a11ba99148b91b84b7132f122f8edd.jpg'}",,2022-09-14T15:14:34.217Z,2022-09-14T15:14:34.217Z
Vela perfumada Frutos Silvestres Bosque Verde vaso de cristal,"Caja 1 ud. | 1,65 €/ud",1.65,,,,"{'url':'24ba89a698c67c08039701d6e5c2ef2061d30368e2b93d61f4bf7bb6becbb60d.jpg','size':35660,'width':600,'height':600,'filename':'988228f367ec94c4746e67c8736a8d21.jpg'}",,2022-09-14T15:14:12.939Z,2022-09-14T15:14:12.939Z
Ambientador armarios Spa Bosque Verde,"Caja 3 ud. | 5,304 €/100 g",1.75,,,,"{'url':'e1f64480123186d9ee8d18717e51161e850bc32218ee873b0f98bc5326481e78.jpg','size':22834,'width':600,'height':600,'filename':'54f43dbc419b3d24dd624eb7f8c322ee.jpg'}",,2022-09-14T15:13:51.851Z,2022-09-14T15:13:51.851Z
