 Name,Description,Price,tipo
Natillas sabor vainilla con galleta Hacendado,"4 ud. x 125 g | 2,00 €/kg",1.0, Desayuno Comida_Cena Entre_horas
Natillas sabor vainilla Hacendado,"4 ud. x 125 g | 1,60 €/kg",0.8, Desayuno
Flan de huevo sin azúcares añadidos Hacendado,"4 ud. x 100 g | 3,25 €/kg",1.3, Comida_Cena
Flan de queso Hacendado al baño María,"4 ud. x 100 g | 4,25 €/kg",1.7, Desayuno Comida_Cena
Flan de café Hacendado,"4 ud. x 100 g | 3,75 €/kg",1.5, Comida_Cena
Flan de huevo Hacendado,"4 ud. x 100 g | 2,75 €/kg",1.1, Comida_Cena
Flan de huevo Hacendado al baño María,"9 ud. x 100 g | 2,723 €/kg",2.45, Comida_Cena
Flan de vainilla con caramelo Hacendado,"6 ud. x 100 g | 1,25 €/kg",0.75, Comida_Cena Entre_horas
"Bífidus natural probiótico Hacendado con coco, almendras y chocolate","Tarrina 180 g | 5,834 €/kg",1.05, Desayuno Comida_Cena Entre_horas
Bífidus natural probiótico azucarado Hacendado con cereales y fresas deshidratadas,"Tarrina 170 g | 5,00 €/kg",0.85, Desayuno
Bífidus desnatado natural Activia 0% m.g. Danone,"8 ud. x 120 g | 3,74 €/kg",3.59, Desayuno Comida_Cena
Bífidus cremoso desnatado natural Hacendado 0% m.g 0% sin azúcares añadidos,"6 ud. x 125 g | 1,867 €/kg",1.4, Desayuno Comida_Cena
Bífidus natural Hacendado,"6 ud. x 125 g | 1,467 €/kg",1.1, Desayuno
Bífidus desnatado natural edulcorado Activia 0% m.g. Danone,"8 ud. x 120 g | 3,74 €/kg",3.59, Desayuno Comida_Cena
Bífidus cremoso desnatado natural edulcorado Hacendado 0% m.g 0% sin azúcares añadidos,"6 ud. x 125 g | 1,867 €/kg",1.4, Desayuno Comida_Cena
Bífidus desnatado natural Hacendado 0% m.g 0% sin azúcares añadidos,"6 ud. x 125 g | 1,467 €/kg",1.1, Desayuno Comida_Cena
Bífidus cremoso probiótico con coco Hacendado,"4 ud. x 125 g | 2,10 €/kg",1.05, Desayuno
Bífidus probiótico con ciruelas pasas Hacendado,"4 ud. x 125 g | 2,10 €/kg",1.05, Desayuno
Bífidus probiótico con mango Hacendado,"4 ud. x 125 g | 2,10 €/kg",1.05, Desayuno
Bífidus desnatado probiótico con pera Hacendado 0% m.g. 0% sin azúcares añadidos,"4 ud. x 125 g | 2,10 €/kg",1.05, Desayuno Comida_Cena
Bífidus desnatado probiótico con piña Hacendado 0% m.g. 0% sin azúcares añadidos,"4 ud. x 125 g | 2,10 €/kg",1.05, Desayuno Comida_Cena
Bífidus probiótico con cereales y fibras Hacendado,"4 ud. x 125 g | 2,10 €/kg",1.05, Desayuno
Bífidus desnatado probiótico con frutos silvestres Hacendado 0% m.g. 0% sin azúcares añadidos,"4 ud. x 125 g | 2,10 €/kg",1.05, Desayuno Comida_Cena
Bífidus cremoso desnatado Tropical Hacendado 0% m.g. 0% sin azúcares añadidos,"4 ud. x 125 g | 2,10 €/kg",1.05, Desayuno Comida_Cena
Bífidus desnatado probiótico con kiwi Hacendado 0% m.g. 0% sin azúcares añadidos,"4 ud. x 125 g | 2,10 €/kg",1.05, Desayuno Comida_Cena
Bífidus desnatado con nueces y cereales Hacendado 0% m.g.,"4 ud. x 125 g | 2,10 €/kg",1.05, Desayuno Comida_Cena
Sándwiches jamón y queso Hacendado,"Paquete 4 ud. (480 g) | 5,209 €/kg",2.5, Desayuno Entre_horas
"Sándwich atún, huevo y tomate Hacendado","Paquete 185 g | 8,649 €/kg",1.6, Comida_Cena
"Sándwich pavo, queso y espinacas Hacendado","Paquete 185 g | 8,649 €/kg",1.6, Desayuno Comida_Cena
Tsatsiki Hacendado,"Tarrina 220 g | 8,637 €/kg",1.9,
Pastel de atún Hacendado,"Bandeja 260 g | 10,77 €/kg",2.8, Comida_Cena Entre_horas
Tabulé oriental Hacendado,"Tarrina 250 g | 5,20 €/kg",1.3,
Tofu firme Frias,"Paquete 400 g (275 g escurrido) | 7,273 €/kg",2.0,
Hummus de garbanzos Hacendado con olivas de kalamata,"Tarrina 240 g | 6,042 €/kg",1.45, Comida_Cena
Hummus de garbanzos Hacendado con pimiento del piquillo asado,"Tarrina 240 g | 6,042 €/kg",1.45, Comida_Cena
Hummus de garbanzos Hacendado receta clásica,"Tarrina 240 g | 5,00 €/kg",1.2, Comida_Cena
Untapán de cangrejo Hacendado,"Tarrina 250 g | 8,60 €/kg",2.15,
Patatas con allioli Hacendado,"Tarrina 250 g | 5,60 €/kg",1.4, Comida_Cena
Ensaladilla americana Hacendado,"Tarrina 250 g | 5,20 €/kg",1.3, Comida_Cena
Ensaladilla rusa Hacendado,"Tarrina 250 g | 7,20 €/kg",1.8, Comida_Cena
Ensaladilla rusa Hacendado,"Tarrina 500 g | 6,00 €/kg",3.0, Comida_Cena
Ensaladilla de cangrejo Hacendado,"Tarrina 250 g | 6,80 €/kg",1.7, Comida_Cena
"Croquetas Caprichos Thai Hacendado de coliflor, leche de coco y curry","Bandeja 9 ud. (225 g) | 13,334 €/kg",3.0, Desayuno
Bocados vegetales marinados Hacendado,"Bandeja 180 g | 16,667 €/kg",3.0, Desayuno
Empanados vegetales con proteina de soja Tivall,"Bandeja 2 ud. (180 g) | 14,445 €/kg",2.6,
